company_code,customer_id,customer_name,general_ledger_number,currency_id,address_line1,city,state,country,postcode,phone_number,email_address
US001,VEY534,"Hurst,Gabriel",1,1,11 Washington Avenue,Auburn,WA,USA,98002,253-498-2773,gabri_hurst@hotmail.com
US001,CPG352,"Robinson,Laura",1,1,97 Front Street,Seattle,WA,USA,98117,206-991-4257,laura_robinso@gmail.com
US001,DMZ767,"Lopez,William",1,1,60 4th Street West,Centralia,WA,USA,98531,360-608-2971,willi_lopez@gmail.com
US001,JQC358,"Mendoza,David",1,1,2 Park Avenue,Olympia,WA,USA,98513,360-791-7936,david_mendoza@hotmail.com
US001,QFZ418,"Mcknight,Shirley",1,1,87 Division Street,Oak Harbor,WA,USA,98277,360-569-9957,shirl_mcknigh@gmail.com
US001,BWD764,"Harris,Donald",1,1,17 Pearl Street,Bellevue,WA,USA,98004,425-249-4342,donal_harris@aol.com
US001,ZHA932,"Moore,Gloria",1,1,8 Oak Street,Seattle,WA,USA,98118,206-124-4504,glori_moore@yahoo.com
US001,TLN926,"Marshall,Gary",1,1,8 Fairway Drive,Seattle,WA,USA,98104,206-681-7749,gary_marshal@gmail.com
US001,WTD949,"Davis,Patricia",1,1,57 Washington Street,Seattle,WA,USA,98166,206-245-3437,patri_davis@gmail.com
US001,FRI473,"Brown,Jason",1,1,16 Dogwood Drive,Edmonds,WA,USA,98026,425-332-3293,jason_brown@aol.com
US001,LCP721,"Allen,Angela",1,1,99 Maple Street,Port Angeles,WA,USA,98362,360-633-5324,angel_allen@hotmail.com
US001,HOV479,"Hansen,Linda",1,1,92 Brookside Drive,Medina,WA,USA,98039,425-835-6068,linda_hansen@gmail.com
US001,RKX058,"Mason,Timothy",1,1,57 5th Avenue,Ephrata,WA,USA,98823,509-613-4913,timot_mason@yahoo.com
US001,XVE579,"Schmidt,Emma",1,1,28 Ridge Road,Seattle,WA,USA,98133,206-955-9646,emma_schmidt@yahoo.com
US001,VSH324,"Wade,Ryan",1,1,48 High Street,Seattle,WA,USA,98199,206-651-7888,ryan_wade@comcast.net
US001,JCE900,"Atkinson,Nicholas",1,1,61 Main Street,Redmond,WA,USA,98052,425-427-5340,nicho_atkinso@hotmail.com
US001,YJY150,"Thompson,Harold",1,1,7 James Street,University Place,WA,USA,98467,253-610-4518,harol_thompso@hotmail.com
US001,VGQ587,"Avery,William",1,1,96 9th Street,Granite Falls,WA,USA,98252,360-122-5201,willi_avery@hotmail.com
US001,OIA765,"Mitchell,James",1,1,15 Park Street,Puyallup,WA,USA,98371,253-757-1774,james_mitchel@hotmail.com
US001,YBT452,"Bridges,Andrew",1,1,48 Pearl Street,Edmonds,WA,USA,98020,425-628-1413,andre_bridges@hotmail.com
US001,UEV327,"Mullins,Joe",1,1,83 5th Street West,Freeland,WA,USA,98249,360-915-2373,joe_mullins@yahoo.com
US001,HYX067,"King,Adam",1,1,83 Hillside Drive,Gold Bar,WA,USA,98251,360-138-2612,adam_king@gmail.com
US001,ASL333,"Henry,Mary",1,1,75 Main Street,Longview,WA,USA,98632,360-854-1991,mary_henry@att.net
US001,NDS987,"Rose,Christopher",1,1,74 1st Avenue,Bellevue,WA,USA,98008,425-431-9162,chris_rose@bellsouth.net
US001,TDD845,"Flowers,Christina",1,1,40 5th Street North,Kent,WA,USA,98032,253-963-4187,chris_flowers@gmail.com
