company_code,customer_id,business_type_id,customer_name,general_ledger_number,currency_id
US001,BDW702,1,"Simmons,Kenneth",102001,1
US001,CIC835,2,"Hodge,Timothy",102001,1
US001,FGT011,1,"Ford,Kevin",102001,1
US001,YXW901,2,"Perez,Jeffrey",102001,1
US001,JFM172,1,"Myers,Brenda",102001,1
US001,OLF222,2,"Strickland,Robert",102001,1
US001,NRJ755,2,"Hardin,John",102001,1
US001,OMD347,2,"Quinn,Shirley",102001,1
US001,TIA156,1,"Lee,Eric",102001,1
US001,KGB666,2,"Bradford,Michael",102001,1
US001,QSF295,2,"Waller,Elizabeth",102001,1
US001,BXR530,2,"Myers,Larry",102001,1
US001,TIH949,1,"Davis,Noah",102001,1
US001,RXN102,1,"Robinson,Kyle",102001,1
US001,NDU885,1,"Beach,Gabriel",102001,1
US001,HYZ738,1,"Carr,Robert",102001,1
US001,KQI010,2,"Weber,Janet",102001,1
US001,GTU482,2,"Sullivan,Marie",102001,1
US001,WGH275,2,"Harrison,Henry",102001,1
US001,OCI412,2,"Cunningham,Roger",102001,1
US001,MCJ150,2,"Bass,Jerry",102001,1
US001,QWK607,1,"Huff,Rose",102001,1
US001,OTD497,2,"Delgado,Deborah",102001,1
US001,CGV259,1,"Garcia,Sarah",102001,1
US001,YML941,2,"Murphy,Zachary",102001,1
US001,DLW661,2,"Stevens,Maria",102001,1
US001,EGP388,2,"Jordan,Ethan",102001,1
US001,BTZ774,2,"Smith,John",102001,1
US001,VBI076,1,"Pickett,Stephen",102001,1
US001,ZDN812,1,"Hunter,Sandra",102001,1
US001,MXD132,1,"Martinez,Janice",102001,1
US001,DFS366,2,"Peterson,Joan",102001,1
US001,AGW752,2,"Miller,John",102001,1
US001,XNY747,1,"Ingram,Richard",102001,1
US001,AGY439,2,"Austin,Cheryl",102001,1
US001,ZRR724,1,"Olson,Christian",102001,1
US001,DLD940,1,"Wright,Paul",102001,1
US001,DYD271,2,"Matthews,James",102001,1
US001,YJK235,1,"Contreras,Benjamin",102001,1
US001,IME716,1,"Diaz,Shirley",102001,1
US001,ALE294,2,"Decker,Judy",102001,1
US001,SPR600,1,"Love,James",102001,1
US001,UKA059,1,"Hicks,Ethan",102001,1
US001,UTU882,1,"Gutierrez,Frances",102001,1
US001,SVE152,2,"Shaw,Benjamin",102001,1
US001,EGI273,1,"Ayala,Jennifer",102001,1
US001,LLM964,2,"Thomas,Joshua",102001,1
US001,EFA432,2,"Fitzpatrick,Sandra",102001,1
US001,LHR018,1,"Moore,Martha",102001,1
US001,JJQ221,1,"Jackson,Megan",102001,1
US001,FML675,2,"Hinton,Jeffrey",102001,1
US001,SBA221,2,"Barker,Joe",102001,1
US001,YVX338,2,"Horton,Paul",102001,1
US001,EHD518,1,"Daniels,Sarah",102001,1
US001,DGB504,2,"Kaufman,Barbara",102001,1
US001,TYW128,1,"Howard,Brian",102001,1
US001,PBJ321,2,"Wilson,Christopher",102001,1
US001,IYN777,1,"Webb,Laura",102001,1
US001,IZB977,2,"Stanley,Billy",102001,1
US001,WTF627,1,"Yang,Elizabeth",102001,1
US001,AYI361,2,"Morrison,Linda",102001,1
US001,KFH367,1,"Hodge,Olivia",102001,1
US001,YVZ350,2,"Mcfadden,Charles",102001,1
US001,TOO094,2,"Wyatt,Raymond",102001,1
US001,OIX382,2,"Walsh,Raymond",102001,1
US001,VXJ061,2,"Foster,John",102001,1
US001,TRO202,2,"Griffith,Robert",102001,1
US001,IGQ342,1,"Wolfe,Susan",102001,1
US001,KBW151,1,"Smith,Larry",102001,1
US001,SBT865,1,"Anderson,Judith",102001,1
US001,ZEC062,2,"Le,Bryan",102001,1
US001,XDW450,1,"Callahan,Steven",102001,1
US001,DGH982,1,"Ford,Zachary",102001,1
US001,UIL404,2,"Moore,Judy",102001,1
US001,NYR251,1,"Barton,Zachary",102001,1
US001,QEZ186,2,"Dawson,Richard",102001,1
US001,BIR990,1,"Andrews,David",102001,1
US001,NJX144,2,"Hernandez,Kevin",102001,1
US001,RSF070,2,"Barry,Nancy",102001,1
US001,CTC681,1,"Patterson,Margaret",102001,1
